snapshot_date,rank,rank_score,title,heat_w,primary_tag_l1,secondary_tags_l2,source_url,completeness,sample_source
2025-06-13,1,3.0,十八岁太奶奶驾到，重整家族荣耀,8594.0,家庭/亲情,,https://www.10100.com/article/1255265,partial,top3
2025-06-13,3,1.0,撕夜,7459.0,其他,,https://www.10100.com/article/1255265,partial,top3
2025-06-13,99,0.5,乡村小圣医,,乡村/现实,乡村逆袭,https://www.10100.com/article/1255265,partial,notes
2025-06-17,1,3.0,十八岁太奶奶驾到，重整家族荣耀,8111.0,家庭/亲情,,https://www.10100.com/article/1253522,full_top3,top3
2025-06-17,2,2.0,重生后，我选择不再原谅,6666.0,穿越/重生,重生复仇,https://www.10100.com/article/1253522,full_top3,top3
2025-06-17,3,1.0,亲爱的，我要结婚了,6235.0,现代情感,,https://www.10100.com/article/1253522,full_top3,top3
2025-07-17,1,3.0,念念有词,7106.0,现代情感,,https://www.thepaper.cn/newsDetail_forward_31279785,full_top3,top3
2025-07-17,2,2.0,早逝白月光穿十一年后，成全家福星,7078.0,家庭/亲情,白月光/替身,https://www.thepaper.cn/newsDetail_forward_31279785,full_top3,top3
2025-07-17,3,1.0,双面权臣暗恋我,6975.0,古风/古代,权谋,https://www.thepaper.cn/newsDetail_forward_31279785,full_top3,top3
2025-07-17,99,0.5,早逝白月光,,现代情感,白月光/替身,https://www.thepaper.cn/newsDetail_forward_31279785,full_top3,notes
2025-07-18,1,3.0,早逝白月光穿十一年后，成全家福星,7062.0,家庭/亲情,白月光/替身,https://www.thepaper.cn/newsDetail_forward_31279788,full_top3,top3
2025-07-18,2,2.0,念念有词,6983.0,现代情感,,https://www.thepaper.cn/newsDetail_forward_31279788,full_top3,top3
2025-07-18,3,1.0,双面权臣暗恋我,6859.0,古风/古代,权谋,https://www.thepaper.cn/newsDetail_forward_31279788,full_top3,top3
2025-07-18,99,0.5,她比星星耀眼,,现代情感,,https://www.thepaper.cn/newsDetail_forward_31279788,full_top3,notes
2025-07-30,1,3.0,十八岁太奶奶驾到，重整家族荣耀第二部,11000.0,家庭/亲情,,https://www.thepaper.cn/newsDetail_forward_31252330,full_top3,top3
2025-07-30,2,2.0,一品布衣,7356.0,古风/古代,,https://www.thepaper.cn/newsDetail_forward_31252330,full_top3,top3
2025-07-30,3,1.0,当爱抵达时,,现代情感,,https://www.thepaper.cn/newsDetail_forward_31252330,full_top3,top3
2025-08-29,1,3.0,傅爷的小青梅又飒又美,9092.0,豪门/总裁,,https://www.10100.com/article/5592992,full_top3,top3
2025-08-29,2,2.0,胭脂刃,7303.0,古风/古代,,https://www.10100.com/article/5592992,full_top3,top3
2025-08-29,3,1.0,驯野,,其他,,https://www.10100.com/article/5592992,full_top3,top3
2025-08-29,99,0.5,掌生2：嫡女国师,,奇幻/系统,宫斗宅斗,https://www.10100.com/article/5592992,full_top3,notes
2025-08-29,99,0.5,逆天萌兽：绝世妖女倾天下,,奇幻/系统,,https://www.10100.com/article/5592992,full_top3,notes
2025-09-16,1,3.0,真千金她是学霸,8925.0,豪门/总裁,豪门恩怨,https://www.10100.com/article/13865857,full_top3,top3
2025-09-16,2,2.0,幸得相遇离婚时,7228.0,现代情感,,https://www.10100.com/article/13865857,full_top3,top3
2025-09-16,3,1.0,春深锁玉郎,7123.0,古风/古代,,https://www.10100.com/article/13865857,full_top3,top3
2025-09-16,99,0.5,姐姐结婚，我也结,,现代情感,,https://www.10100.com/article/13865857,full_top3,notes
2025-10-23,1,3.0,怪她太会撒娇,7256.0,现代情感,,https://m.thepaper.cn/newsDetail_forward_31826799,full_top3,top3
